rank,family,variant,rebalance,requested_range,actual_range,net_perf_pct,cagr_pct,max_drawdown_pct,sharpe,positions,win_rate_pct,avg_trade_pct,median_trade_days,soxl_return_pct,soxl_max_drawdown_pct,tqqq_return_pct,tqqq_max_drawdown_pct,soxl_only_net_pct,soxl_only_max_drawdown_pct,excess_vs_soxl_only_pct,beats_soxl_only,notes
1,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, chosen/alternate above SMA50, 5% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,775116.8,75.63,-79.24,1.15,124,54.03,13.17,7.0,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,734047.0,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
2,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA200, 2% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,683841.21,74.55,-78.99,1.14,128,47.66,12.26,7.5,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,642771.41,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
3,Relative momentum rotation,"84d return_minus_half_vol, 2% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,671798.62,74.36,-78.99,1.14,136,48.53,11.0,7.5,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,630728.82,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
4,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA100, 2% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,622076.12,73.51,-78.99,1.13,140,49.29,10.76,7.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,581006.32,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
5,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, 5% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,601067.08,72.84,-79.24,1.13,126,53.17,12.23,8.0,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,559997.28,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
6,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,552991.56,71.94,-79.24,1.12,124,52.42,13.16,7.5,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,511921.76,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA200, 2% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,549572.48,72.16,-79.33,1.12,176,49.43,8.27,7.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,508502.68,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
8,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, chosen/alternate above SMA50, 5% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,545131.65,71.78,-83.73,1.12,42,76.19,34.02,90.0,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,504061.85,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
9,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, chosen/alternate above SMA50, 5% hysteresis, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,543565.64,71.75,-84.82,1.12,74,59.46,21.81,52.0,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,502495.84,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA200, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,540540.6,71.98,-80.03,1.12,134,48.51,10.84,7.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,499470.8,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
