strategy,universe,top_n,signal_date,trade_date,action,ticker,security,index_date_added,price,old_weight,new_weight,rank,score,skipped_not_yet_index_before_buy,equity_before_trade
S&P 500 Top1 PIT membership,S&P 500,1,2021-06-30,2021-07-01,SELL,FANG,Diamondback Energy,2018-12-03,78.46909363634184,1.0,0.0,,,,1.053966980347622
S&P 500 Top1 PIT membership,S&P 500,1,2021-06-30,2021-07-01,BUY,NUE,Nucor,1985-04-30,90.27283835338012,0.0,1.0,1,1.1540872724972449,1,1.053966980347622
S&P 500 Top1 PIT membership,S&P 500,1,2021-08-31,2021-09-01,SELL,NUE,Nucor,1985-04-30,108.69037055348122,1.0,0.0,,,,1.2689981143240223
S&P 500 Top1 PIT membership,S&P 500,1,2021-08-31,2021-09-01,BUY,MRNA,Moderna,2021-07-21,382.8370056152344,0.0,1.0,1,1.6414417171707538,0,1.2689981143240223
S&P 500 Top1 PIT membership,S&P 500,1,2021-11-30,2021-12-01,SELL,MRNA,Moderna,2021-07-21,330.0,1.0,0.0,,,,1.093858147422161
S&P 500 Top1 PIT membership,S&P 500,1,2021-11-30,2021-12-01,BUY,TSLA,"Tesla, Inc.",2020-12-21,386.8999938964844,0.0,1.0,1,0.840957230808149,0,1.093858147422161
S&P 500 Top1 PIT membership,S&P 500,1,2022-01-31,2022-02-01,SELL,TSLA,"Tesla, Inc.",2020-12-21,311.7366638183594,1.0,0.0,,,,0.8813535666768434
S&P 500 Top1 PIT membership,S&P 500,1,2022-01-31,2022-02-01,BUY,DVN,Devon Energy,2000-08-30,40.99303842787647,0.0,1.0,1,0.7764722643102326,1,0.8813535666768434
S&P 500 Top1 PIT membership,S&P 500,1,2022-02-28,2022-03-01,SELL,DVN,Devon Energy,2000-08-30,48.91770761224288,1.0,0.0,,,,1.0517345805815306
S&P 500 Top1 PIT membership,S&P 500,1,2022-02-28,2022-03-01,BUY,APA,APA Corporation,1997-07-28,31.60517965947619,0.0,1.0,1,0.769144965413536,0,1.0517345805815306
S&P 500 Top1 PIT membership,S&P 500,1,2022-04-29,2022-05-02,SELL,APA,APA Corporation,1997-07-28,35.20549644308862,1.0,0.0,,,,1.1715433493710457
S&P 500 Top1 PIT membership,S&P 500,1,2022-04-29,2022-05-02,BUY,CF,CF Industries,2008-08-27,87.8811997683611,0.0,1.0,1,0.7697676075160873,0,1.1715433493710457
S&P 500 Top1 PIT membership,S&P 500,1,2022-05-31,2022-06-01,SELL,CF,CF Industries,2008-08-27,90.68659160278251,1.0,0.0,,,,1.2089419983956289
S&P 500 Top1 PIT membership,S&P 500,1,2022-05-31,2022-06-01,BUY,OXY,Occidental Petroleum,1957-03-04,66.49222933297165,0.0,1.0,1,0.8376390751544469,1,1.2089419983956289
S&P 500 Top1 PIT membership,S&P 500,1,2022-08-31,2022-09-01,SELL,OXY,Occidental Petroleum,1957-03-04,65.30665209080266,1.0,0.0,,,,1.1873861845091278
S&P 500 Top1 PIT membership,S&P 500,1,2022-08-31,2022-09-01,BUY,EPAM,EPAM Systems,2021-12-14,421.0,0.0,1.0,1,0.4860300578915362,2,1.1873861845091278
S&P 500 Top1 PIT membership,S&P 500,1,2022-09-30,2022-10-03,SELL,EPAM,EPAM Systems,2021-12-14,365.8599853515625,1.0,0.0,,,,1.0318695773661697
S&P 500 Top1 PIT membership,S&P 500,1,2022-09-30,2022-10-03,BUY,CEG,Constellation Energy,2022-02-02,82.59680265111157,0.0,1.0,1,0.4566681544445226,2,1.0318695773661697
S&P 500 Top1 PIT membership,S&P 500,1,2022-11-30,2022-12-01,SELL,CEG,Constellation Energy,2022-02-02,94.36842722864408,1.0,0.0,,,,1.1789307333414156
S&P 500 Top1 PIT membership,S&P 500,1,2022-11-30,2022-12-01,BUY,DXCM,Dexcom,2020-05-12,116.38999938964844,0.0,1.0,1,0.7020256640086218,1,1.1789307333414156
S&P 500 Top1 PIT membership,S&P 500,1,2022-12-30,2023-01-03,SELL,DXCM,Dexcom,2020-05-12,114.3000030517578,1.0,0.0,,,,1.1577608654126301
S&P 500 Top1 PIT membership,S&P 500,1,2022-12-30,2023-01-03,BUY,FSLR,First Solar,2022-12-19,151.00999450683594,0.0,1.0,1,1.5316213487358659,0,1.1577608654126301
S&P 500 Top1 PIT membership,S&P 500,1,2023-01-31,2023-02-01,SELL,FSLR,First Solar,2022-12-19,177.39999389648438,1.0,0.0,,,,1.3600872652736347
S&P 500 Top1 PIT membership,S&P 500,1,2023-01-31,2023-02-01,BUY,PCG,PG&E Corporation,2022-10-03,15.574228908496174,0.0,1.0,1,0.4977084634897635,0,1.3600872652736347
S&P 500 Top1 PIT membership,S&P 500,1,2023-02-28,2023-03-01,SELL,PCG,PG&E Corporation,2022-10-03,15.317942469581688,1.0,0.0,,,,1.337705937512376
S&P 500 Top1 PIT membership,S&P 500,1,2023-02-28,2023-03-01,BUY,WYNN,Wynn Resorts,2008-11-14,106.65698007901824,0.0,1.0,1,0.6523345066860791,0,1.337705937512376
S&P 500 Top1 PIT membership,S&P 500,1,2023-03-31,2023-04-03,SELL,WYNN,Wynn Resorts,2008-11-14,111.86517317375188,1.0,0.0,,,,1.4030277835029012
S&P 500 Top1 PIT membership,S&P 500,1,2023-03-31,2023-04-03,BUY,NVDA,Nvidia,2001-11-30,27.48466960367856,0.0,1.0,1,0.9083440899136019,1,1.4030277835029012
S&P 500 Top1 PIT membership,S&P 500,1,2023-05-31,2023-06-01,SELL,NVDA,Nvidia,2001-11-30,38.45495609590561,1.0,0.0,,,,1.9630351244505662
S&P 500 Top1 PIT membership,S&P 500,1,2023-05-31,2023-06-01,BUY,META,Meta Platforms,2013-12-23,263.8295904214734,0.0,1.0,1,1.2355214284760017,0,1.9630351244505662
S&P 500 Top1 PIT membership,S&P 500,1,2023-06-30,2023-07-03,SELL,META,Meta Platforms,2013-12-23,284.4676665294726,1.0,0.0,,,,2.1165935946599377
S&P 500 Top1 PIT membership,S&P 500,1,2023-06-30,2023-07-03,BUY,NVDA,Nvidia,2001-11-30,42.48378258219759,0.0,1.0,1,1.6959547825850376,2,2.1165935946599377
S&P 500 Top1 PIT membership,S&P 500,1,2023-11-30,2023-12-01,SELL,NVDA,Nvidia,2001-11-30,46.49249632095064,1.0,0.0,,,,2.3163125769763937
S&P 500 Top1 PIT membership,S&P 500,1,2023-11-30,2023-12-01,BUY,MPC,Marathon Petroleum,2011-07-01,141.9306795546502,0.0,1.0,1,0.43588910865450003,4,2.3163125769763937
S&P 500 Top1 PIT membership,S&P 500,1,2023-12-29,2024-01-02,SELL,MPC,Marathon Petroleum,2011-07-01,142.1691560297636,1.0,0.0,,,,2.3202045195807073
S&P 500 Top1 PIT membership,S&P 500,1,2023-12-29,2024-01-02,BUY,KEY,KeyCorp,1994-03-01,12.82821430983199,0.0,1.0,1,0.39594300269812366,6,2.3202045195807073
S&P 500 Top1 PIT membership,S&P 500,1,2024-01-31,2024-02-01,SELL,KEY,KeyCorp,1994-03-01,13.052483324989105,1.0,0.0,,,,2.3607674514121975
S&P 500 Top1 PIT membership,S&P 500,1,2024-01-31,2024-02-01,BUY,INTC,Intel,1976-12-31,42.57974063356224,0.0,1.0,1,0.41331318681258944,6,2.3607674514121975
S&P 500 Top1 PIT membership,S&P 500,1,2024-02-29,2024-03-01,SELL,INTC,Intel,1976-12-31,42.96185895503192,1.0,0.0,,,,2.381953407044882
S&P 500 Top1 PIT membership,S&P 500,1,2024-02-29,2024-03-01,BUY,AMD,Advanced Micro Devices,2017-03-20,197.91000366210935,0.0,1.0,1,0.6244335397754945,2,2.381953407044882
