Trading Rank,Symbol,Last,Chg%,Trading Score,Trading Score Change,Trading Rank Improvement,Trading View,Investment Rank,Investment Score,Investment Score Change,Investment Rank Improvement,Investment View,Previous Date,Previous Trading Score,Previous Investment Score,History Summary,Investment Note
1,MRVL,205,0.08,100,,,Strong trade,10,70,,,Buy / accumulate,,,,"2026-05-31: T#1/100, I#10/70","Final stance: HOLD. MRVL closed at 205.00 on 2026 05 29, with a one day return of 0.08% and a 30 calendar day TradingAgents window return of 24.13%."
2,CHAT,98.2200,1.40,97,,,Strong trade,21,55,,,Hold / watch,,,,"2026-05-31: T#2/97, I#21/55","Final stance: HOLD. CHAT closed at 98.22 on 2026 05 29, with a one day return of 1.4% and a 30 calendar day TradingAgents window return of 25.94%."
2,QLD,98.4600,0.69,97,,,Strong trade,21,55,,,Hold / watch,,,,"2026-05-31: T#2/97, I#21/55","Final stance: HOLD. QLD closed at 98.46 on 2026 05 29, with a one day return of 0.69% and a 30 calendar day TradingAgents window return of 21.48%."
2,QTUM,159.7500,0.43,97,,,Strong trade,21,55,,,Hold / watch,,,,"2026-05-31: T#2/97, I#21/55","Final stance: HOLD. QTUM closed at 159.75 on 2026 05 29, with a one day return of 0.43% and a 30 calendar day TradingAgents window return of 19.19%."
5,APLD,47.2800,-4.77,93,,,Strong trade,29,41,,,Speculative / avoid new,,,,"2026-05-31: T#5/93, I#29/41","Final stance: BUY. APLD closed at 47.28 on 2026 05 29, with a one day return of 4.77% and a 30 calendar day TradingAgents window return of 38.04%."
5,IREN,63.5400,-0.80,93,,,Strong trade,18,60,,,Hold / watch,,,,"2026-05-31: T#5/93, I#18/60","Final stance: BUY. IREN closed at 63.54 on 2026 05 29, with a one day return of 0.8% and a 30 calendar day TradingAgents window return of 39.62%."
5,RKLB,143.4800,-3.07,93,,,Strong trade,29,41,,,Speculative / avoid new,,,,"2026-05-31: T#5/93, I#29/41","Final stance: BUY. RKLB closed at 143.48 on 2026 05 29, with a one day return of 3.07% and a 30 calendar day TradingAgents window return of 73.89%."
8,AMD,516.1000,-0.38,92,,,Strong trade,5,78,,,Buy / accumulate,,,,"2026-05-31: T#8/92, I#5/78","Selective trade / watch entry; 3-10 trading days; risk Medium-high. Trading score 74.0, investment score 78.0."
8,SMH,598.9300,-0.15,92,,,Strong trade,2,84,,,Buy / accumulate,,,,"2026-05-31: T#8/92, I#2/84","Long-term buy, wait for better short-term setup; Watch for pullback; risk Medium. Trading score 57.8, investment score 84.0."
8,TSSI,16.4800,21.71,92,,,Strong trade,16,63,,,Hold / watch,,,,"2026-05-31: T#8/92, I#16/63","Final stance: BUY. TSSI closed at 16.48 on 2026 05 29, with a one day return of 21.71% and a 30 calendar day TradingAgents window return of 7.57%."
11,SNDK,1694.9800,3.25,90,,,Strong trade,10,70,,,Buy / accumulate,,,,"2026-05-31: T#11/90, I#10/70","Avoid near-term trade; No short-term entry; risk High. Trading score 23.7, investment score 70.0."
12,TSLA,435.7900,-1.43,89,,,Strong trade,28,45,,,Speculative / avoid new,,,,"2026-05-31: T#12/89, I#28/45","Final stance: HOLD. TSLA closed at 435.79 on 2026 05 29, with a one day return of 1.43% and a 30 calendar day TradingAgents window return of 14.19%."
13,AVGO,446.7700,4.73,88,,,Watch / constructive,18,60,,,Hold / watch,,,,"2026-05-31: T#13/88, I#18/60","Final stance: HOLD. AVGO closed at 446.77 on 2026 05 29, with a one day return of 4.73% and a 30 calendar day TradingAgents window return of 7.03%."
13,MU,971,5.14,88,,,Strong trade,3,79,,,Buy / accumulate,,,,"2026-05-31: T#13/88, I#3/79","Avoid near-term trade; No short-term entry; risk High. Trading score 35.7, investment score 79.0."
15,APP,613.0900,2.20,87,,,Strong trade,10,70,,,Buy / accumulate,,,,"2026-05-31: T#15/87, I#10/70","Final stance: HOLD. APP closed at 613.09 on 2026 05 29, with a one day return of 2.2% and a 30 calendar day TradingAgents window return of 37.36%."
16,AAPL,312.0600,-0.14,83,,,Trade candidate,10,70,,,Buy / accumulate,,,,"2026-05-31: T#16/83, I#10/70","Final stance: HOLD. AAPL closed at 312.06 on 2026 05 29, with a one day return of 0.14% and a 30 calendar day TradingAgents window return of 15.11%."
16,CRWD,731,8.94,83,,,Trade candidate,29,41,,,Speculative / avoid new,,,,"2026-05-31: T#16/83, I#29/41","Final stance: HOLD. CRWD closed at 731.00 on 2026 05 29, with a one day return of 8.94% and a 30 calendar day TradingAgents window return of 63.99%."
18,HOOD,94.3000,11.15,75,,,Trade candidate,10,70,,,Buy / accumulate,,,,"2026-05-31: T#18/75, I#10/70","Final stance: HOLD. HOOD closed at 94.30 on 2026 05 29, with a one day return of 11.15% and a 30 calendar day TradingAgents window return of 29.37%."
19,NVDA,211.1400,-1.45,72,,,Watch / constructive,1,94,,,Strong long-term buy,,,,"2026-05-31: T#19/72, I#1/94","Long-term buy, wait for better short-term setup; Watch for pullback; risk Medium. Trading score 73.0, investment score 94.0."
20,MSFT,450.2400,5.45,67,,,Watch / constructive,5,78,,,Buy / accumulate,,,,"2026-05-31: T#20/67, I#5/78","Final stance: HOLD. MSFT closed at 450.24 on 2026 05 29, with a one day return of 5.45% and a 30 calendar day TradingAgents window return of 10.65%."
21,POWL,284.4200,-1.55,65,,,Watch / constructive,3,79,,,Buy / accumulate,,,,"2026-05-31: T#21/65, I#3/79","Selective trade / watch entry; 3-10 trading days; risk High. Trading score 68.7, investment score 79.0."
21,VRSN,285.3800,-3.63,65,,,Watch / constructive,5,78,,,Buy / accumulate,,,,"2026-05-31: T#21/65, I#5/78","Final stance: HOLD. VRSN closed at 285.38 on 2026 05 29, with a one day return of 3.63% and a 30 calendar day TradingAgents window return of 6.5%."
23,CRWV,109.5300,2.50,63,,,Weak / neutral,33,35,,,Avoid long-term,,,,"2026-05-31: T#23/63, I#33/35","Final stance: HOLD. CRWV closed at 109.53 on 2026 05 29, with a one day return of 2.5% and a 30 calendar day TradingAgents window return of 1.85%."
23,PLTR,156.5400,9.21,63,,,Weak / neutral,18,60,,,Hold / watch,,,,"2026-05-31: T#23/63, I#18/60","Final stance: HOLD. PLTR closed at 156.54 on 2026 05 29, with a one day return of 9.21% and a 30 calendar day TradingAgents window return of 12.53%."
25,SOFI,18.2200,7.37,58,,,Weak / neutral,21,55,,,Hold / watch,,,,"2026-05-31: T#25/58, I#21/55","Final stance: HOLD. SOFI closed at 18.22 on 2026 05 29, with a one day return of 7.37% and a 30 calendar day TradingAgents window return of 13.17%."
26,CRM,191.1000,8.47,57,,,Weak / neutral,5,78,,,Buy / accumulate,,,,"2026-05-31: T#26/57, I#5/78","Final stance: HOLD. CRM closed at 191.10 on 2026 05 29, with a one day return of 8.47% and a 30 calendar day TradingAgents window return of 8.25%."
26,SHLD,67.5300,-0.57,57,,,Weak / neutral,16,63,,,Hold / watch,,,,"2026-05-31: T#26/57, I#16/63","Final stance: HOLD. SHLD closed at 67.53 on 2026 05 29, with a one day return of 0.57% and a 30 calendar day TradingAgents window return of 1.0%."
28,URA,50.7600,0.02,52,,,Avoid short-term,21,55,,,Hold / watch,,,,"2026-05-31: T#28/52, I#21/55","Final stance: SELL. URA closed at 50.76 on 2026 05 29, with a one day return of 0.02% and a 30 calendar day TradingAgents window return of 10.03%."
29,RKT,14.5100,0.76,49,,,Weak / neutral,21,55,,,Hold / watch,,,,"2026-05-31: T#29/49, I#21/55","Final stance: HOLD. RKT closed at 14.51 on 2026 05 29, with a one day return of 0.76% and a 30 calendar day TradingAgents window return of 0.75%."
30,LITE,854.9600,-0.66,45,,,Avoid short-term,5,78,,,Buy / accumulate,,,,"2026-05-31: T#30/45, I#5/78","Avoid near-term trade; No short-term entry; risk High. Trading score 31.1, investment score 78.0."
31,OPEN,5.0400,-0.59,40,,,Avoid short-term,29,41,,,Speculative / avoid new,,,,"2026-05-31: T#31/40, I#29/41","Final stance: HOLD. OPEN closed at 5.04 on 2026 05 29, with a one day return of 0.59% and a 30 calendar day TradingAgents window return of 6.32%."
,EUV,,,,,,,21,55,,,Hold / watch,,,,"2026-05-31: T#/, I#21/55","Final stance: HOLD. EUV closed at 27.02 on 2026 05 29, with a one day return of 0.92% and a 30 calendar day TradingAgents window return of 2.0%."
,FIGR,,,,,,,10,70,,,Buy / accumulate,,,,"2026-05-31: T#/, I#10/70","Final stance: HOLD. FIGR closed at 35.35 on 2026 05 29, with a one day return of 1.79% and a 30 calendar day TradingAgents window return of 0.71%."
