Strategy,Family,Source file,Curve column,Notes,In-sample actual range,Out-of-sample actual range,In-sample cumulative return %,In-sample max drawdown %,In-sample Sharpe,Out-of-sample cumulative return %,Out-of-sample max drawdown %,Out-of-sample Sharpe
Base SOXL/TQQQ rotation,Base / benchmark,reports\soxl_tqqq_dca_overlay_curves.csv,base_rotation,Original best rotation benchmark,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,8478.8,-58.4,1.11,8405.93,-79.24,1.24
SOXL-only SMA50/SMA63 10% stop,Base / benchmark,reports\soxl_tqqq_dca_overlay_curves.csv,soxl_only,SOXL-only state/stop benchmark,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,2825.77,-62.0,0.97,1224.54,-66.18,0.92
SOXL buy-and-hold,Buy-hold benchmark,reports\soxl_tqqq_dca_overlay_curves.csv,soxl_buy_hold,,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,3337.59,-72.61,0.88,819.19,-90.46,0.87
TQQQ buy-and-hold,Buy-hold benchmark,reports\soxl_tqqq_dca_overlay_curves.csv,tqqq_buy_hold,,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,4619.32,-58.08,1.06,605.45,-81.66,0.79
Lowest drawdown DCA overlay,DCA overlay,reports\soxl_tqqq_dca_overlay_curves.csv,best_drawdown,reserve_cash; anchor=entry; add 15%/20%; rebound sell,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,544.99,-22.85,1.11,731.9,-28.74,1.27
Highest return DCA overlay,DCA overlay,reports\soxl_tqqq_dca_overlay_curves.csv,best_return,margin_3x; anchor=rolling_high; add 5%/40%,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,15783.89,-87.39,1.04,36719.88,-97.29,1.39
Advanced DCA: best return with DD better than SOXL-only,DCA overlay,reports\soxl_tqqq_dca_advanced_curves.csv,best_return_under_soxl_dd,,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,23678.67,-52.53,1.26,11296.24,-65.19,1.29
Advanced DCA: best return with DD <= 60%,DCA overlay,reports\soxl_tqqq_dca_advanced_curves.csv,best_return_under_60dd,,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,7349.63,-42.92,1.19,4542.22,-59.85,1.2
Advanced DCA: best Calmar/raw return,DCA overlay,reports\soxl_tqqq_dca_advanced_curves.csv,best_calmar,,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,1312542.81,-63.32,1.61,1792023.79,-82.46,1.87
Advanced DCA: best return with DD <= 50%,DCA overlay,reports\soxl_tqqq_dca_advanced_curves.csv,best_return_under_50dd,,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,2013.35,-33.17,1.21,1909.09,-47.87,1.23
Cash regime: best return with max DD <= 50%,Cash regime,reports\soxl_tqqq_cash_regime_best_return_dd50_daily.csv,equity,,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,1642.38,-49.97,0.88,6310.32,-49.2,1.33
