snapshot,tier,list_rank,ticker,score_status,critical_data_reasons,price,price_date,mb_research,ev_research,technical_research,market_refreshed_at,source_reviewed_at,promotion_blocker,evidence_status,input_audited_mb_score,mb_input_coverage,ev_input_coverage,completed_passes,warning_count,warnings,audit_file
2026-09-18T153217Z-daily,action,1,ETN,scoreable,,409.4599914550781,2026-09-17,73.91122611020047,56.372118292147064,62.16326148315961,2026-09-18T15:32:17+00:00,2026-09-07T01:58:22+00:00,"No material evidence gap; valuation, entry and weekly persistence gates still apply.",reviewed_within_scope,73.91122611020047,1.0,1.0,6,2,"Some historical cells are standardized vendor observations, not independently primary-verified values. Per-cell sources are shown.; The broader six-pass research programme remains incomplete. A passed input audit is not a fully verified MB score.",./evidence_audit/2026-09-06/ETN.json
2026-09-18T153217Z-daily,action,2,ZETA,scoreable,,30.3700008392334,2026-09-17,72.8024666703437,66.4994486464907,76.91476292892308,2026-09-18T15:32:17+00:00,2026-09-07T01:58:22+00:00,"No material evidence gap; valuation, entry and weekly persistence gates still apply.",reviewed_within_scope,72.8024666703437,1.0,1.0,6,2,"Some historical cells are standardized vendor observations, not independently primary-verified values. Per-cell sources are shown.; The broader six-pass research programme remains incomplete. A passed input audit is not a fully verified MB score.",./evidence_audit/2026-09-06/ZETA.json
2026-09-18T153217Z-daily,action,3,HUBB,scoreable,,443.2300109863281,2026-09-17,70.38977368135042,61.5084411847436,24.664430722067436,2026-09-18T15:32:17+00:00,2026-09-07T01:58:22+00:00,"No material evidence gap; valuation, entry and weekly persistence gates still apply.",reviewed_within_scope,70.38977368135042,1.0,1.0,6,2,"Some historical cells are standardized vendor observations, not independently primary-verified values. Per-cell sources are shown.; The broader six-pass research programme remains incomplete. A passed input audit is not a fully verified MB score.",./evidence_audit/2026-09-06/HUBB.json
2026-09-18T153217Z-daily,action,4,CRMD,scoreable,,7.789999961853027,2026-09-17,68.55504479049873,67.6899636233528,23.615018013974588,2026-09-18T15:32:17+00:00,2026-09-07T01:58:22+00:00,"No material evidence gap; valuation, entry and weekly persistence gates still apply.",reviewed_within_scope,68.55504479049873,1.0,1.0,6,2,"Some historical cells are standardized vendor observations, not independently primary-verified values. Per-cell sources are shown.; The broader six-pass research programme remains incomplete. A passed input audit is not a fully verified MB score.",./evidence_audit/2026-09-06/CRMD.json
2026-09-18T153217Z-daily,action,5,VST,scoreable,,143.55999755859375,2026-09-17,68.48456029585316,61.24441202192624,48.10442454334246,2026-09-18T15:32:17+00:00,2026-09-07T01:58:22+00:00,No score-critical data gap. Eight historical display cells remain unavailable but all current MB factor inputs are populated; retain the visible noncritical warning.,provisional_with_explicit_gaps,,1.0,1.0,5,3,"8 required financial-history cells unavailable; blanks are not zero.; Some historical cells are standardized vendor observations, not independently primary-verified values. Per-cell sources are shown.; The broader six-pass research programme remains incomplete. A passed input audit is not a fully verified MB score.",./evidence_audit/2026-09-06/VST.json
2026-09-18T153217Z-daily,action,6,AXTI,scoreable,,67.75,2026-09-17,62.89396234679024,50.613449755494514,66.72192429517165,2026-09-18T15:32:17+00:00,2026-09-07T01:58:22+00:00,"No material evidence gap; valuation, entry and weekly persistence gates still apply.",reviewed_within_scope,62.89396234679024,1.0,1.0,6,2,"Some historical cells are standardized vendor observations, not independently primary-verified values. Per-cell sources are shown.; The broader six-pass research programme remains incomplete. A passed input audit is not a fully verified MB score.",./evidence_audit/2026-09-06/AXTI.json
2026-09-18T153217Z-daily,action,7,KTOS,scoreable,,47.65999984741211,2026-09-17,62.100934804579566,44.041399059106126,22.47078548651612,2026-09-18T15:32:17+00:00,2026-09-07T01:58:22+00:00,"No material evidence gap; valuation, entry and weekly persistence gates still apply.",reviewed_within_scope,62.100934804579566,1.0,1.0,6,2,"Some historical cells are standardized vendor observations, not independently primary-verified values. Per-cell sources are shown.; The broader six-pass research programme remains incomplete. A passed input audit is not a fully verified MB score.",./evidence_audit/2026-09-06/KTOS.json
2026-09-18T153217Z-daily,action,8,AVAV,scoreable,,163.3800048828125,2026-09-17,59.435490475898625,29.07394235276023,64.46032874088458,2026-09-18T15:32:17+00:00,2026-09-07T01:58:22+00:00,"No material evidence gap; valuation, entry and weekly persistence gates still apply.",provisional_with_explicit_gaps,,1.0,1.0,3,4,"Some historical cells are standardized vendor observations, not independently primary-verified values. Per-cell sources are shown.; The broader six-pass research programme remains incomplete. A passed input audit is not a fully verified MB score.; New filed disclosure requires source review; New financial period; audited statement bridge not yet updated",./evidence_audit/2026-09-06/AVAV.json
2026-09-18T153217Z-daily,action,9,EVLV,scoreable,,5.039999961853027,2026-09-17,58.93590250884993,53.94754888035904,32.249954114309865,2026-09-18T15:32:17+00:00,2026-09-07T01:58:22+00:00,Comparable positive-baseline EPS revision unavailable; E&V is valuation-only or partially covered. Raw estimates remain visible.,reviewed_within_scope,58.93590250884993,1.0,0.7,6,3,"Comparable positive-baseline EPS revision unavailable; E&V is valuation-only or partially covered. Raw estimates remain visible.; Some historical cells are standardized vendor observations, not independently primary-verified values. Per-cell sources are shown.; The broader six-pass research programme remains incomplete. A passed input audit is not a fully verified MB score.",./evidence_audit/2026-09-06/EVLV.json
2026-09-18T153217Z-daily,action,10,BKSY,scoreable,,22.760000228881836,2026-09-17,57.29154344406555,43.68253988462178,30.35115787643256,2026-09-18T15:32:17+00:00,2026-09-07T01:58:22+00:00,Comparable positive-baseline EPS revision unavailable; E&V is valuation-only or partially covered. Raw estimates remain visible.,provisional_with_explicit_gaps,,1.0,0.7,3,4,"Comparable positive-baseline EPS revision unavailable; E&V is valuation-only or partially covered. Raw estimates remain visible.; Some historical cells are standardized vendor observations, not independently primary-verified values. Per-cell sources are shown.; The broader six-pass research programme remains incomplete. A passed input audit is not a fully verified MB score.; New filed disclosure requires source review",./evidence_audit/2026-09-06/BKSY.json
2026-09-18T153217Z-daily,candidate,1,AMPX,scoreable,,9.4399995803833,2026-09-11,55.32802567227369,44.652372957104234,19.98456792987175,2026-09-12T15:55:44+00:00,2026-09-07T01:58:22+00:00,"No material evidence gap; valuation, entry and weekly persistence gates still apply.",reviewed_within_scope,55.32802567227369,1.0,1.0,6,2,"Some historical cells are standardized vendor observations, not independently primary-verified values. Per-cell sources are shown.; The broader six-pass research programme remains incomplete. A passed input audit is not a fully verified MB score.",./evidence_audit/2026-09-06/AMPX.json
2026-09-18T153217Z-daily,candidate,2,RGTI,scoreable,,15.270000457763672,2026-09-11,53.563474023568205,9.126306915700729,24.425140977549024,2026-09-12T15:55:44+00:00,2026-09-07T01:58:22+00:00,Comparable positive-baseline EPS revision unavailable; E&V is valuation-only or partially covered. Raw estimates remain visible.,provisional_with_explicit_gaps,,1.0,0.7,3,4,"Comparable positive-baseline EPS revision unavailable; E&V is valuation-only or partially covered. Raw estimates remain visible.; Some historical cells are standardized vendor observations, not independently primary-verified values. Per-cell sources are shown.; The broader six-pass research programme remains incomplete. A passed input audit is not a fully verified MB score.; New filed disclosure requires source review",./evidence_audit/2026-09-06/RGTI.json
2026-09-18T153217Z-daily,candidate,3,NBIS,scoreable,,224.5500030517578,2026-09-11,52.50237566663755,43.170326227595844,60.60058974515528,2026-09-12T15:55:44+00:00,2026-09-07T01:58:22+00:00,Comparable positive-baseline EPS revision unavailable; E&V is valuation-only or partially covered. Raw estimates remain visible.; Historical quarter sums differ materially from the score-input bridge; classification/restatement mismatch remains visible.,provisional_with_explicit_gaps,,1.0,0.7,2,5,"Comparable positive-baseline EPS revision unavailable; E&V is valuation-only or partially covered. Raw estimates remain visible.; Some historical cells are standardized vendor observations, not independently primary-verified values. Per-cell sources are shown.; Historical quarter sums differ materially from the score-input bridge; classification/restatement mismatch remains visible.; The broader six-pass research programme remains incomplete. A passed input audit is not a fully verified MB score.; New filed disclosure requires source review",./evidence_audit/2026-09-06/NBIS.json
2026-09-18T153217Z-daily,candidate,4,SSII,scoreable,,3.309999942779541,2026-09-11,52.35471274770528,30.84236689233976,23.963790826382578,2026-09-12T15:55:44+00:00,2026-09-07T01:58:22+00:00,Comparable positive-baseline EPS revision unavailable; E&V is valuation-only or partially covered. Raw estimates remain visible.,provisional_with_explicit_gaps,,1.0,0.7,3,4,"Comparable positive-baseline EPS revision unavailable; E&V is valuation-only or partially covered. Raw estimates remain visible.; Some historical cells are standardized vendor observations, not independently primary-verified values. Per-cell sources are shown.; The broader six-pass research programme remains incomplete. A passed input audit is not a fully verified MB score.; New filed disclosure requires source review",./evidence_audit/2026-09-06/SSII.json
